Date,open,high,low,close
11/20/14,3519.4,3534.407,3511.663,3526.773
11/21/14,3526.682,3576.225,3525.84,3575.874
11/24/14,3612.7,3657.748,3597.3,3641.002
11/25/14,3642.815,3694.15,3636.608,3694.15
11/26/14,3703.172,3730.728,3693.005,3730.455
11/27/14,3744.362,3765.199,3724.667,3765.199
11/28/14,3765.006,3801.682,3747.307,3801.611
12/1/14,3812.67,3827.844,3772.883,3789.727
12/2/14,3779.104,3892.88,3775.992,3879.901
12/3/14,3890.629,3947.539,3860.048,3928.619
12/4/14,3935.336,4051.751,3930.081,4051.312
12/5/14,4080.578,4092.406,3897.065,4018.927
12/8/14,4000.425,4131.516,3964.615,4115.814
12/9/14,4095.745,4204.732,3911.167,3935.365
12/10/14,3937.735,4078.064,3897.296,4074.052
12/11/14,4047.656,4120.012,4030.361,4078.678
12/12/14,4080.392,4122.592,4072.85,4105.878
12/15/14,4091.002,4160.416,4072.795,4153.422
12/16/14,4157.176,4210.718,4144.001,4210.718
12/17/14,4220.912,4235.501,4150,4225.942
12/18/14,4221.189,4252.649,4196.687,4212.881
12/19/14,4209.505,4221.764,4119.397,4217.024
12/22/14,4221.002,4222.863,4104.388,4136.18
12/23/14,4101.307,4159.286,4048.338,4055.344
12/24/14,4066.307,4083.652,3982.429,4027.006
12/25/14,4047.344,4126.016,4026.748,4125.632
12/26/14,4131.61,4214.862,4123.723,4210.809
12/29/14,4248.397,4253.181,4143.83,4186.363
12/30/14,4178.882,4197.198,4128.922,4152.926
12/31/14,4155.731,4222.192,4149.038,4219.002
1/5/15,4243.09,4330.562,4218.596,4310.693
1/6/15,4280.133,4348.266,4255.393,4338.934
1/7/15,4322.457,4355.395,4299.121,4341.894
1/8/15,4344.203,4351.56,4263.701,4277.761
1/9/15,4264.036,4375.972,4253.511,4257.059
1/12/15,4238.436,4254.431,4167.461,4209.383
1/13/15,4204.236,4252.942,4202.853,4236.69
1/14/15,4242.146,4260.34,4191.827,4220.656
1/15/15,4219.933,4304.687,4211.029,4304.687
1/16/15,4315.204,4365.769,4308.692,4349.651
1/19/15,4158.213,4244.645,4064.532,4102.099
1/20/15,4096.624,4197.626,4096.624,4196.971
1/21/15,4218.969,4347.107,4215.296,4342.22
1/22/15,4345.708,4390.163,4327.677,4385.058
1/23/15,4397.304,4421.363,4347.055,4368.623
1/26/15,4376.606,4436.849,4370.445,4435.868
1/27/15,4443.05,4451.141,4350.414,4425.595
